### Instance Data ###

I (production plants):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]

a_ij (transportation cost from plants I to centers C):
0 0 100
0 1 67
0 2 119
0 3 57
0 4 114
0 5 118
0 6 141
0 7 101
0 8 37
0 9 79
0 10 159
0 11 68
0 12 58
0 13 39
0 14 76
0 15 13
0 16 65
0 17 44
0 18 111
0 19 140
0 20 181
0 21 72
0 22 52
0 23 129
0 24 74
0 25 18
0 26 46
0 27 56
0 28 38
0 29 27
1 0 75
1 1 70
1 2 82
1 3 38
1 4 76
1 5 80
1 6 104
1 7 63
1 8 10
1 9 42
1 10 121
1 11 31
1 12 35
1 13 68
1 14 39
1 15 23
1 16 31
1 17 17
1 18 74
1 19 103
1 20 144
1 21 34
1 22 14
1 23 92
1 24 40
1 25 35
1 26 39
1 27 46
1 28 1
1 29 59
2 0 132
2 1 126
2 2 114
2 3 94
2 4 60
2 5 81
2 6 108
2 7 104
2 8 53
2 9 29
2 10 95
2 11 37
2 12 91
2 13 124
2 14 62
2 15 76
2 16 29
2 17 74
2 18 105
2 19 60
2 20 101
2 21 46
2 22 55
2 23 49
2 24 15
2 25 92
2 26 95
2 27 102
2 28 55
2 29 115
3 0 66
3 1 60
3 2 48
3 3 28
3 4 41
3 5 45
3 6 68
3 7 38
3 8 46
3 9 36
3 10 86
3 11 28
3 12 25
3 13 58
3 14 4
3 15 59
3 16 41
3 17 28
3 18 39
3 19 67
3 20 108
3 21 19
3 22 20
3 23 56
3 24 50
3 25 54
3 26 29
3 27 36
3 28 33
3 29 49
4 0 115
4 1 109
4 2 97
4 3 77
4 4 43
4 5 64
4 6 91
4 7 87
4 8 60
4 9 11
4 10 78
4 11 20
4 12 74
4 13 107
4 14 45
4 15 73
4 16 37
4 17 56
4 18 88
4 19 53
4 20 94
4 21 29
4 22 38
4 23 42
4 24 21
4 25 75
4 26 78
4 27 85
4 28 48
4 29 98
5 0 47
5 1 40
5 2 66
5 3 8
5 4 61
5 5 65
5 6 88
5 7 48
5 8 33
5 9 56
5 10 106
5 11 48
5 12 5
5 13 38
5 14 23
5 15 39
5 16 61
5 17 11
5 18 58
5 19 87
5 20 128
5 21 39
5 22 30
5 23 76
5 24 70
5 25 34
5 26 9
5 27 16
5 28 30
5 29 29
6 0 89
6 1 64
6 2 108
6 3 46
6 4 103
6 5 107
6 6 130
6 7 90
6 8 15
6 9 68
6 10 148
6 11 58
6 12 48
6 13 62
6 14 66
6 15 14
6 16 39
6 17 33
6 18 100
6 19 130
6 20 170
6 21 61
6 22 41
6 23 118
6 24 54
6 25 30
6 26 36
6 27 45
6 28 28
6 29 53
7 0 80
7 1 75
7 2 81
7 3 43
7 4 75
7 5 79
7 6 103
7 7 63
7 8 11
7 9 41
7 10 120
7 11 30
7 12 40
7 13 73
7 14 38
7 15 24
7 16 26
7 17 22
7 18 73
7 19 102
7 20 143
7 21 33
7 22 13
7 23 91
7 24 35
7 25 40
7 26 44
7 27 51
7 28 3
7 29 64
8 0 98
8 1 92
8 2 80
8 3 61
8 4 61
8 5 65
8 6 88
8 7 71
8 8 26
8 9 26
8 10 106
8 11 16
8 12 58
8 13 91
8 14 29
8 15 42
8 16 8
