### Instance Data ###

I (production plants):
[0, 1, 2, 3, 4, 5, 6]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]

a_ij (transportation cost from plants I to centers C):
0 0 38
0 1 56
0 2 62
0 3 85
0 4 79
0 5 85
0 6 69
0 7 146
0 8 100
0 9 67
0 10 119
0 11 57
0 12 114
0 13 118
1 0 4
1 1 22
1 2 43
1 3 51
1 4 94
1 5 118
1 6 32
1 7 109
1 8 75
1 9 70
1 10 82
1 11 38
1 12 76
1 13 80
2 0 51
2 1 33
2 2 99
2 3 5
2 4 151
2 5 175
2 6 55
2 7 79
2 8 132
2 9 126
2 10 114
2 11 94
2 12 60
2 13 81
3 0 34
3 1 32
3 2 33
3 3 60
3 4 85
3 5 109
3 6 10
3 7 73
3 8 66
3 9 60
3 10 48
3 11 28
3 12 41
3 13 45
4 0 48
4 1 34
4 2 82
4 3 12
4 4 134
4 5 158
4 6 38
4 7 62
4 8 115
4 9 109
4 10 97
4 11 77
4 12 43
4 13 64
5 0 34
5 1 52
5 2 13
5 3 80
5 4 65
5 5 89
5 6 30
5 7 93
5 8 47
5 9 40
5 10 66
5 11 8
5 12 61
5 13 65
6 0 27
6 1 42
6 2 51
6 3 75
6 4 89
6 5 113
6 6 59
6 7 135
6 8 89
6 9 64
6 10 108
6 11 46
6 12 103
6 13 107

b_jr (transportation cost from centers C to regional centers R):
0 0 103
0 1 63
0 2 11
0 3 41
0 4 120
0 5 30
0 6 40
0 7 73
0 8 38
0 9 24
0 10 26
0 11 22
0 12 73
0 13 102
0 14 143
0 15 33
0 16 13
0 17 91
0 18 35
0 19 40
0 20 44
1 0 88
1 1 71
1 2 26
1 3 26
1 4 106
1 5 16
1 6 58
1 7 91
1 8 29
1 9 42
1 10 8
1 11 40
1 12 71
1 13 88
1 14 128
1 15 19
1 16 22
1 17 76
1 18 17
1 19 58
1 20 62
2 0 79
2 1 39
2 2 47
2 3 70
2 4 97
2 5 62
2 6 7
2 7 25
2 8 36
2 9 48
2 10 74
2 11 25
2 12 49
2 13 78
2 14 119
2 15 52
2 16 43
2 17 68
2 18 84
2 19 43
2 20 15
3 0 103
3 1 99
3 2 59
3 3 23
3 4 90
3 5 32
3 6 86
3 7 119
3 8 57
3 9 72
3 10 35
3 11 68
3 12 100
3 13 54
3 14 95
3 15 41
3 16 50
3 17 43
3 18 20
3 19 87
3 20 90
4 0 62
4 1 46
4 2 99
4 3 122
4 4 80
4 5 113
4 6 59
4 7 40
4 8 88
4 9 74
4 10 126
4 11 77
4 12 45
4 13 91
4 14 102
4 15 104
4 16 95
4 17 119
4 18 135
4 19 60
4 20 55
5 0 66
5 1 70
5 2 123
5 3 146
5 4 80
5 5 137
5 6 83
5 7 50
5 8 112
5 9 99
5 10 150
5 11 101
5 12 69
5 13 116
5 14 102
5 15 128
5 16 119
5 17 143
5 18 159
5 19 83
5 20 79
6 0 71
6 1 49
6 2 43
6 3 26
6 4 89
6 5 17
6 6 36
6 7 69
6 8 7
6 9 56
6 10 30
6 11 25
6 12 49
6 13 70
6 14 111
6 15 8
6 16 17
6 17 59
6 18 39
6 19 51
6 20 40
7 0 29
7 1 45
7 2 120
7 3 67
7 4 16
7 5 77
7 6 87
7 7 107
7 8 69
7 9 132
7 10 96
7 11 102
7 12 35
7 13 20
7 14 34
7 15 74
7 16 94
7 17 47
7 18 81
7 19 127
7 20 99
8 0 41
8 1 27
8 2 80
8 3 103
8 4 58
8 5 94
8 6 41
8 7 61
8 8 69
8 9 86
8 10 107
8 11 58
8 12 26
8 13 72
8 14 81
8 15 85
8 16 76
8 17 100
8 18 116
8 19 81
8 20 53
9 0 74
9 1 33
9 2 74
9 3 97
9 4 91
9 5 88
9 6 34
9 7 28
9 8 63
9 9 53
9 10 101
9 11 52
9 12 43
9 13 73
9 14 114
9 15 79
9 16 70
9 17 94
9 18 110
9 19 48
9 20 30
10 0 22
10 1 18
10 2 93
10 3 85
10 4 39
10 5 77
10 6 60
10 7 80
10 8 51
10 9 105
10 10 89
10 11 75
10 12 9
10 13 55
10 14 61
10 15 67
10 16 67
10 17 82
10 18 98
10 19 100
10 20 72
11 0 84
11 1 44
11 2 42
11 3 65
11 4 102
11 5 57
11 6 2
11 7 30
11 8 32
11 9 43
11 10 69
11 11 20
11 12 54
11 13 83
11 14 124
11 15 47
11 16 38
11 17 72
11 18 79
11 19 38
11 20 10
12 0 47
12 1 43
12 2 87
12 3 34
12 4 45
12 5 45
12 6 55
12 7 75
12 8 37
12 9 100
12 10 64
12 11 70
12 12 44
12 13 26
12 14 67
12 15 41
12 16 62
12 17 29
12 18 48
12 19 95
12 20 67
13 0 26
13 1 22
13 2 91
13 3 52
13 4 41
13 5 49
13 6 59
13 7 79
13 8 41
13 9 104
13 10 68
13 11 74
13 12 23
13 13 22
13 14 63
13 15 45
13 16 66
13 17 50
13 18 66
13 19 99
13 20 71

p_i (production capacity of plants I):
88 93 100 93 80 83 99

q_j (supply capacity of distribution centers C):
0 132
1 361
2 281
3 462
4 145
5 142
6 321
7 104
8 374
9 293
10 137
11 379
12 455
13 425

c_j (activation cost of distribution centers C):
0 1066
1 1180
2 1140
3 1231
4 1072
5 1071
6 1160
7 1052
8 1187
9 1146
10 1068
11 1189
12 1227
13 1212

d_r (demand of regional centers R):
0 30
1 6
2 25
3 21
4 35
5 7
6 40
7 26
8 31
9 27
10 6
11 15
12 31
13 9
14 14
15 28
16 20
17 10
18 8
19 38
20 29

N_c (set of plants that can serve each distribution center j):
0: [0, 1, 2, 3, 4, 5, 6]
1: [0, 1, 2, 3, 4, 5, 6]
2: [0, 1, 2, 3, 4, 5, 6]
3: [0, 1, 2, 3, 4, 5, 6]
4: [0, 1, 3, 4, 5, 6]
5: [0, 1, 3, 5, 6]
6: [0, 1, 2, 3, 4, 5, 6]
7: [1, 2, 3, 4, 5, 6]
8: [0, 1, 2, 3, 4, 5, 6]
9: [0, 1, 2, 3, 4, 5, 6]
10: [0, 1, 2, 3, 4, 5, 6]
11: [0, 1, 2, 3, 4, 5, 6]
12: [0, 1, 2, 3, 4, 5, 6]
13: [0, 1, 2, 3, 4, 5, 6]

T_r (set of distribution centers that can serve each regional center r):
0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
1: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
3: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]
4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
7: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
9: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
10: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]
11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
12: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
13: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
14: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
15: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
16: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
17: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]
18: [0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13]
19: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
20: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]

