### Instance Data ###

I (production plants):
[0, 1, 2, 3, 4, 5]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]

a_ij (transportation cost from plants I to centers C):
0 0 27
0 1 38
0 2 56
0 3 62
0 4 85
0 5 79
0 6 85
0 7 69
0 8 146
0 9 100
0 10 67
0 11 119
1 0 26
1 1 4
1 2 22
1 3 43
1 4 51
1 5 94
1 6 118
1 7 32
1 8 109
1 9 75
1 10 70
1 11 82
2 0 69
2 1 51
2 2 33
2 3 99
2 4 5
2 5 151
2 6 175
2 7 55
2 8 79
2 9 132
2 10 126
2 11 114
3 0 62
3 1 34
3 2 32
3 3 33
3 4 60
3 5 85
3 6 109
3 7 10
3 8 73
3 9 66
3 10 60
3 11 48
4 0 76
4 1 48
4 2 34
4 3 82
4 4 12
4 5 134
4 6 158
4 7 38
4 8 62
4 9 115
4 10 109
4 11 97
5 0 42
5 1 34
5 2 52
5 3 13
5 4 80
5 5 65
5 6 89
5 7 30
5 8 93
5 9 47
5 10 40
5 11 66

b_jr (transportation cost from centers C to regional centers R):
0 0 46
0 1 103
0 2 107
0 3 130
0 4 90
0 5 15
0 6 68
0 7 148
0 8 58
0 9 48
0 10 62
0 11 66
0 12 14
0 13 39
0 14 33
0 15 100
0 16 130
0 17 170
1 0 43
1 1 75
1 2 79
1 3 103
1 4 63
1 5 11
1 6 41
1 7 120
1 8 30
1 9 40
1 10 73
1 11 38
1 12 24
1 13 26
1 14 22
1 15 73
1 16 102
1 17 143
2 0 61
2 1 61
2 2 65
2 3 88
2 4 71
2 5 26
2 6 26
2 7 106
2 8 16
2 9 58
2 10 91
2 11 29
2 12 42
2 13 8
2 14 40
2 15 71
2 16 88
2 17 128
3 0 5
3 1 51
3 2 55
3 3 79
3 4 39
3 5 47
3 6 70
3 7 97
3 8 62
3 9 7
3 10 25
3 11 36
3 12 48
3 13 74
3 14 25
3 15 49
3 16 78
3 17 119
4 0 89
4 1 55
4 2 76
4 3 103
4 4 99
4 5 59
4 6 23
4 7 90
4 8 32
4 9 86
4 10 119
4 11 57
4 12 72
4 13 35
4 14 68
4 15 100
4 16 54
4 17 95
5 0 56
5 1 90
5 2 69
5 3 62
5 4 46
5 5 99
5 6 122
5 7 80
5 8 113
5 9 59
5 10 40
5 11 88
5 12 74
5 13 126
5 14 77
5 15 45
5 16 91
5 17 102
6 0 80
6 1 114
6 2 93
6 3 66
6 4 70
6 5 123
6 6 146
6 7 80
6 8 137
6 9 83
6 10 50
6 11 112
6 12 99
6 13 150
6 14 101
6 15 69
6 16 116
6 17 102
7 0 39
7 1 44
7 2 48
7 3 71
7 4 49
7 5 43
7 6 26
7 7 89
7 8 17
7 9 36
7 10 69
7 11 7
7 12 56
7 13 30
7 14 25
7 15 49
7 16 70
7 17 111
8 0 89
8 1 32
8 2 28
8 3 29
8 4 45
8 5 120
8 6 67
8 7 16
8 8 77
8 9 87
8 10 107
8 11 69
8 12 132
8 13 96
8 14 102
8 15 35
8 16 20
8 17 34
9 0 43
9 1 71
9 2 50
9 3 41
9 4 27
9 5 80
9 6 103
9 7 58
9 8 94
9 9 41
9 10 61
9 11 69
9 12 86
9 13 107
9 14 58
9 15 26
9 16 72
9 17 81
10 0 31
10 1 65
10 2 50
10 3 74
10 4 33
10 5 74
10 6 97
10 7 91
10 8 88
10 9 34
10 10 28
10 11 63
10 12 53
10 13 101
10 14 52
10 15 43
10 16 73
10 17 114
11 0 62
11 1 53
11 2 32
11 3 22
11 4 18
11 5 93
11 6 85
11 7 39
11 8 77
11 9 60
11 10 80
11 11 51
11 12 105
11 13 89
11 14 75
11 15 9
11 16 55
11 17 61

p_i (production capacity of plants I):
100 87 97 95 85 84

q_j (supply capacity of distribution centers C):
0 374
1 327
2 293
3 484
4 336
5 122
6 105
7 168
8 333
9 198
10 110
11 231

c_j (activation cost of distribution centers C):
0 1187
1 1163
2 1146
3 1242
4 1168
5 1061
6 1052
7 1084
8 1166
9 1099
10 1055
11 1115

d_r (demand of regional centers R):
0 27
1 22
2 32
3 31
4 5
5 11
6 9
7 37
8 27
9 10
10 10
11 32
12 5
13 39
14 29
15 9
16 39
17 30

N_c (set of plants that can serve each distribution center j):
0: [0, 1, 2, 3, 4, 5]
1: [0, 1, 2, 3, 4, 5]
2: [0, 1, 2, 3, 4, 5]
3: [0, 1, 2, 3, 4, 5]
4: [0, 1, 2, 3, 4, 5]
5: [0, 1, 3, 4, 5]
6: [0, 1, 3, 5]
7: [0, 1, 2, 3, 4, 5]
8: [1, 2, 3, 4, 5]
9: [0, 1, 2, 3, 4, 5]
10: [0, 1, 2, 3, 4, 5]
11: [0, 1, 2, 3, 4, 5]

T_r (set of distribution centers that can serve each regional center r):
0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
1: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
6: [0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11]
7: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
9: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
