### Instance Data ###

I (production plants):
[0, 1, 2, 3]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]

a_ij (transportation cost from plants I to centers C):
0 0 87
0 1 53
0 2 27
0 3 38
0 4 56
0 5 62
0 6 85
0 7 79
1 0 49
1 1 29
1 2 26
1 3 4
1 4 22
1 5 43
1 6 51
1 7 94
2 0 17
2 1 85
2 2 69
2 3 51
2 4 33
2 5 99
2 6 5
2 7 151
3 0 48
3 1 20
3 2 62
3 3 34
3 4 32
3 5 33
3 6 60
3 7 85

b_jr (transportation cost from centers C to regional centers R):
0 0 158
0 1 38
0 2 62
0 3 115
0 4 109
0 5 97
0 6 77
0 7 43
0 8 64
0 9 91
0 10 87
0 11 60
1 0 89
1 1 30
1 2 93
1 3 47
1 4 40
1 5 66
1 6 8
1 7 61
1 8 65
1 9 88
1 10 48
1 11 33
2 0 113
2 1 59
2 2 135
2 3 89
2 4 64
2 5 108
2 6 46
2 7 103
2 8 107
2 9 130
2 10 90
2 11 15
3 0 123
3 1 31
3 2 108
3 3 80
3 4 75
3 5 81
3 6 43
3 7 75
3 8 79
3 9 103
3 10 63
3 11 11
4 0 141
4 1 21
4 2 93
4 3 98
4 4 92
4 5 80
4 6 61
4 7 61
4 8 65
4 9 88
4 10 71
4 11 26
5 0 75
5 1 44
5 2 84
5 3 38
5 4 26
5 5 57
5 6 5
5 7 51
5 8 55
5 9 79
5 10 39
5 11 47
6 0 170
6 1 50
6 2 74
6 3 127
6 4 121
6 5 109
6 6 89
6 7 55
6 8 76
6 9 103
6 10 99
6 11 59
7 0 24
7 1 95
7 2 71
7 3 21
7 4 24
7 5 40
7 6 56
7 7 90
7 8 69
7 9 62
7 10 46
7 11 99

p_i (production capacity of plants I):
100 85 82 95

q_j (supply capacity of distribution centers C):
0 436
1 234
2 187
3 271
4 272
5 383
6 300
7 137

c_j (activation cost of distribution centers C):
0 1218
1 1117
2 1093
3 1135
4 1136
5 1191
6 1150
7 1068

d_r (demand of regional centers R):
0 34
1 29
2 26
3 6
4 17
5 10
6 28
7 5
8 27
9 19
10 30
11 39

N_c (set of plants that can serve each distribution center j):
0: [0, 1, 2, 3]
1: [0, 1, 2, 3]
2: [0, 1, 2, 3]
3: [0, 1, 2, 3]
4: [0, 1, 2, 3]
5: [0, 1, 2, 3]
6: [0, 1, 2, 3]
7: [0, 1, 3]

T_r (set of distribution centers that can serve each regional center r):
0: [1, 2, 3, 5, 7]
1: [0, 1, 2, 3, 4, 5, 6, 7]
2: [0, 1, 2, 3, 4, 5, 6, 7]
3: [0, 1, 2, 3, 4, 5, 6, 7]
4: [0, 1, 2, 3, 4, 5, 6, 7]
5: [0, 1, 2, 3, 4, 5, 6, 7]
6: [0, 1, 2, 3, 4, 5, 6, 7]
7: [0, 1, 2, 3, 4, 5, 6, 7]
8: [0, 1, 2, 3, 4, 5, 6, 7]
9: [0, 1, 2, 3, 4, 5, 6, 7]
10: [0, 1, 2, 3, 4, 5, 6, 7]
11: [0, 1, 2, 3, 4, 5, 6, 7]

