### Instance Data ###

I (production plants):
[0, 1, 2, 3, 4]

C (potential distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]

R (regional distribution centers):
[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]

a_ij (transportation cost from plants I to centers C):
0 0 53
0 1 27
0 2 38
0 3 56
0 4 62
0 5 85
0 6 79
0 7 85
0 8 69
0 9 146
1 0 29
1 1 26
1 2 4
1 3 22
1 4 43
1 5 51
1 6 94
1 7 118
1 8 32
1 9 109
2 0 85
2 1 69
2 2 51
2 3 33
2 4 99
2 5 5
2 6 151
2 7 175
2 8 55
2 9 79
3 0 20
3 1 62
3 2 34
3 3 32
3 4 33
3 5 60
3 6 85
3 7 109
3 8 10
3 9 73
4 0 68
4 1 76
4 2 48
4 3 34
4 4 82
4 5 12
4 6 134
4 7 158
4 8 38
4 9 62

b_jr (transportation cost from centers C to regional centers R):
0 0 47
0 1 40
0 2 66
0 3 8
0 4 61
0 5 65
0 6 88
0 7 48
0 8 33
0 9 56
0 10 106
0 11 48
0 12 5
0 13 38
0 14 23
1 0 89
1 1 64
1 2 108
1 3 46
1 4 103
1 5 107
1 6 130
1 7 90
1 8 15
1 9 68
1 10 148
1 11 58
1 12 48
1 13 62
1 14 66
2 0 80
2 1 75
2 2 81
2 3 43
2 4 75
2 5 79
2 6 103
2 7 63
2 8 11
2 9 41
2 10 120
2 11 30
2 12 40
2 13 73
2 14 38
3 0 98
3 1 92
3 2 80
3 3 61
3 4 61
3 5 65
3 6 88
3 7 71
3 8 26
3 9 26
3 10 106
3 11 16
3 12 58
3 13 91
3 14 29
4 0 38
4 1 26
4 2 57
4 3 5
4 4 51
4 5 55
4 6 79
4 7 39
4 8 47
4 9 70
4 10 97
4 11 62
4 12 7
4 13 25
4 14 36
5 0 127
5 1 121
5 2 109
5 3 89
5 4 55
5 5 76
5 6 103
5 7 99
5 8 59
5 9 23
5 10 90
5 11 32
5 12 86
5 13 119
5 14 57
6 0 21
6 1 24
6 2 40
6 3 56
6 4 90
6 5 69
6 6 62
6 7 46
6 8 99
6 9 122
6 10 80
6 11 113
6 12 59
6 13 40
6 14 88
7 0 43
7 1 48
7 2 60
7 3 80
7 4 114
7 5 93
7 6 66
7 7 70
7 8 123
7 9 146
7 10 80
7 11 137
7 12 83
7 13 50
7 14 112
8 0 76
8 1 71
8 2 59
8 3 39
8 4 44
8 5 48
8 6 71
8 7 49
8 8 43
8 9 26
8 10 89
8 11 17
8 12 36
8 13 69
8 14 7
9 0 52
9 1 79
9 2 35
9 3 89
9 4 32
9 5 28
9 6 29
9 7 45
9 8 120
9 9 67
9 10 16
9 11 77
9 12 87
9 13 107
9 14 69

p_i (production capacity of plants I):
86 98 82 100 91

q_j (supply capacity of distribution centers C):
0 106
1 280
2 217
3 307
4 372
5 356
6 470
7 130
8 427
9 247

c_j (activation cost of distribution centers C):
0 1053
1 1140
2 1108
3 1153
4 1186
5 1178
6 1235
7 1065
8 1213
9 1123

d_r (demand of regional centers R):
0 36
1 19
2 39
3 35
4 16
5 14
6 39
7 33
8 29
9 34
10 7
11 5
12 13
13 34
14 17

N_c (set of plants that can serve each distribution center j):
0: [0, 1, 2, 3, 4]
1: [0, 1, 2, 3, 4]
2: [0, 1, 2, 3, 4]
3: [0, 1, 2, 3, 4]
4: [0, 1, 2, 3, 4]
5: [0, 1, 2, 3, 4]
6: [0, 1, 3, 4]
7: [0, 1, 3]
8: [0, 1, 2, 3, 4]
9: [1, 2, 3, 4]

T_r (set of distribution centers that can serve each regional center r):
0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
1: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
3: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
4: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
5: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
6: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
7: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
8: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
9: [0, 1, 2, 3, 4, 5, 6, 8, 9]
10: [0, 2, 3, 4, 5, 6, 7, 8, 9]
11: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
12: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
13: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
14: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]

